4,109.46,200
10,91.35,420
5,87.39,195
7,43.6,125
7,61.44,120
5,105.3,328
5,78.16,260
9,114.17,680
9,77.66,330
7,79.88,232
3,127.06,288
3,266.5,460
10,95.4,490
9,81.43,335
7,77.83,248
7,69.72,200
3,86.27,178
9,67.79,258
7,70.74,280
10,161,1100
8,76.61,310
9,58.04,260
7,109.37,455
7,100,250
1,140.75,225
5,118,390
2,100.5,220
10,80.88,355
6,69.97,230
7,132.14,435
8,56.56,165
9,62.17,249
7,87.12,392
7,80.88,258
11,65.95,425
9,51.89,138
5,97,255
10,155,1650
5,48,103
5,78.5,163
3,96.22,210
7,50.45,135
2,96,195
6,56,150
2,91,260
5,37.8,118
10,99.01,780
3,78.16,165
7,177.51,400
3,107.6,200
5,78.39,175
5,122.55,290
5,52,170
5,111.8,496
8,83,297
7,64.44,140
11,72.97,600
5,86.5,200
5,109.8,250
7,80,350
2,132.2,185
7,58.38,158
5,97.1,355
10,89.55,388
3,157.8,350
8,91.86,398
8,109.63,530
10,62,390
7,80.62,230
9,123.57,650
9,81.38,300
9,59.43,213
2,88,110
9,62.42,280
7,62.27,188
10,24,132
10,77.59,385
7,51.87,148
8,129.63,480
6,82.69,320
5,132.4,340
5,111.34,395
5,144.06,395
5,125.7,328
10,175.4,875
8,72.88,385
6,143,430
9,284.54,2400
5,76.47,175
9,84.46,335
11,61.5,255
8,73.05,230
11,76.54,260
9,69.98,292
3,119.88,120
5,86,133
10,65.5,270
5,96.54,340
2,131.09,295
6,92.44,260
8,104.66,435
9,90,415
5,61.89,160
2,100.18,190
11,83,398
5,139.23,314
5,139.25,440
5,59.1,168
5,83,163
6,106.36,400
1,47.32,80
8,95.96,500
5,101.6,225
5,89,235
9,93.68,590
3,142,360
8,38.14,108
7,106.92,370
7,62,240
7,74.1,206
9,70.89,320
3,90.21,210
11,48.07,165
5,83.77,329
10,78,435
10,102.13,510
11,57.33,368
6,68.68,245
10,53.62,168
8,134.29,619
9,47.66,145
5,96.97,355
5,115,275
5,105.3,300
11,65.11,230
7,73,195
9,92.22,450
5,53.79,255
11,89.87,730
11,62.65,182
9,98.56,420
5,63.5,148
9,78,333
5,184.75,450
5,210,610
6,96.11,255
5,70,180
3,86,191
11,58.06,250
9,65.02,156
8,104,295
1,112.16,236
10,97.7,530
10,63.18,200
10,100.44,520
6,94.69,375
10,49.01,230
11,70,600
2,82.48,110
2,139.17,280
9,119.4,480
7,64.06,195
6,91.7,380
9,60.13,180
3,130,260
5,93.79,535
9,80.36,343
10,154,1200
10,67,340
9,71.36,308
3,83.44,170
11,166.81,1500
5,74.45,239
9,68.22,285
9,38.01,120
8,69.29,252
4,118.42,273
10,48.25,285
3,98.44,208
9,50.47,185
3,95.9,210
9,91.76,290
11,91.67,382
2,109.06,160
5,90.94,255
9,104.08,452
5,61.2,135
8,53.23,110
10,61.11,280
10,55.75,183
7,87.72,245
8,69.48,230
7,65.36,230
7,95.44,240
9,83.57,365
9,40.2,180
6,65.92,152
8,54,168
8,84,220
8,80.27,305
5,76.61,230
3,90.12,178
7,75,268
3,99.29,258
9,66.26,289
5,87.79,189
5,97,280
3,131.06,238
10,61.27,255
10,109.02,545
5,89.23,250
10,46.8,200
6,87.66,320
5,99.3,310
5,135,385
5,89,260
9,61.91,330
8,79.52,290
11,143,1145
5,101,253
3,59.38,115
10,43.35,285
10,58.91,250
6,88,345
5,77.37,240
10,143.15,680
5,116.59,380
2,93.62,330
9,31.41,155
5,78,220
2,90.08,130
9,45.39,168
10,85.26,380
3,90,210
10,95.8,450
9,96,420
5,209,350
2,75.42,120
5,61.25,142
3,99.84,240
5,83.6,215
11,75.15,520
1,92,175
8,117.32,390
7,63.47,190
2,101.36,170
6,89,265
7,84.81,285
9,51.53,173
10,97.85,550
9,57.4,240
11,81.1,486
9,40.03,110
5,82.31,240
10,96.85,360
10,80.66,406
7,77.32,325
7,166.1,648
5,236.8,1000
9,75,338
8,34.65,90
9,159.76,850
11,83.71,600
1,101.5,125
5,94,280
9,47.47,220
11,45.71,252
7,61.83,168
9,60.56,186
2,95.5,200
11,66.51,365
7,93,240
5,80.8,170
9,86.89,435
5,71,158
9,85.39,560
7,90.58,365
10,91.24,580
7,98,450
9,59.7,365
5,113.08,265
7,80.2,220
5,83.7,193
10,63.26,230
5,165.78,445
7,143.78,500
2,94.46,180
2,91.77,158
10,86,745
10,95.09,525
7,85.55,285
6,65,240
5,87.39,235
7,73.59,315
3,98.4,130
10,55.75,198
5,100.59,280
5,129.78,450
10,105,550
5,81.2,200
1,85.7,185
10,82.67,245
5,65.8,178
9,60.06,196
5,70.17,200
9,68.59,348
6,76.12,238
8,102.97,355
9,57.05,190
6,96.84,280
11,85.91,520
8,69.42,268
10,33,110
2,92.97,180
3,111.38,210
6,63.44,215
6,80.26,160
5,135.48,350
5,68.3,128
9,55.36,280
11,118.95,580
3,156.4,270
5,78.95,221
9,73.19,310
10,105,725
5,95,365
10,92.13,360
9,80,368
9,53.14,218
9,98.88,550
9,65.33,275
2,115.57,145
5,93,263
5,39.83,157
5,106.2,320
5,117.6,400
5,79.9,252
6,83,320
7,75.91,258
8,56.68,190
9,65.56,230
3,92.21,200
7,46,143
11,88.85,380
9,116.32,475
5,75.01,238
5,89.2,195
3,121.27,295
5,107.45,315
7,73,180
11,53,225
7,70.55,280
11,51.12,260
5,93,210
1,87.15,88
5,123,330
6,126,500
5,100,355
9,46.93,135
7,69.17,200
3,142.63,360
5,102,358
5,96.67,240
7,49.76,140
7,65.94,182
5,69.6,205
10,77,348
8,70.75,280
10,110.8,400
5,77.4,185
3,144,230
9,80.28,330
5,110.2,179
7,81.14,300
3,107.77,175
6,66,245
9,72.28,305
10,171.81,1450
6,99.61,380
9,96,420
3,90.12,175
9,76.41,327
3,44.06,78
11,44.08,236
9,51.49,200
9,52.04,200
6,75,235
11,69,498
5,66.7,168
5,96.4,305
10,35.93,118
10,76.22,392
9,61.56,275
9,54.81,218
5,105,295
1,74.68,126
8,31.5,100
8,202,800
5,60.3,208
11,54.91,240
5,75.5,220
3,104,215
10,62.62,260
8,66.2,210
10,123.51,730
9,75.49,355
5,83.7,175
5,41.4,66
5,67.8,165
9,54.54,150
3,91.48,182
7,125.6,410
5,126.94,398
3,106.97,260
7,104.6,315
1,79.42,98
5,102,350
9,99.02,359
10,164.79,960
6,58.35,185
3,111,103
8,76.97,268
11,57.75,220
5,107,230
3,80.64,200
10,80.76,530
6,76,205
9,74.41,430
8,60.44,163
10,58.44,220
7,81.8,220
6,86.25,319
7,61,180
8,46.26,162
10,130.75,755
7,72.13,340
9,111.18,500
4,71.4,170
5,116,303
3,109.73,192
3,117.35,305
11,77.99,250
6,100,390
1,127.77,177
4,108.97,198
5,87.89,320
6,65,238
7,49.98,168
5,103,216
10,82.55,630
9,64.8,200
7,62.35,150
3,122.06,312
10,81.72,280
5,106.8,380
10,66.18,330
10,162,1003
6,83.57,280
7,58.96,128
10,228,866
9,50.41,165
5,69.6,145
3,102.37,230
5,59.63,240
5,78,270
6,93.86,198
10,197.4,1500
8,102.55,470
10,46.05,240
11,54.23,285
10,83.61,340
10,69.3,310
3,98.92,191
5,102.78,260
5,51.19,159
5,90.9,150
8,84.67,360
6,83.62,310
11,58.01,268
6,76.83,265
10,111.46,480
8,83.56,320
